HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer._1monitor1.cellphone,Answer._1monitor2.tablet,Answer._1monitor3.smalllaptop,Answer._1monitor4.midsize,Answer._1monitor5.largescreen,Answer._1monitor6.notsure,Answer._2cursor1.mouse,Answer._2cursor2.trackpad,Answer._2cursor3.touchscreen,Answer._2cursor4.other,Answer.annotatedResult.boundingBoxes,Answer.annotatedResult.inputImageProperties.height,Answer.annotatedResult.inputImageProperties.width,Approve,Reject
3QD8LUVX50G2I0KIQSEOTJTZMF1X50,3029CDJAWHX8FNMU5GV1D3SOVNZSDH,Answer a 2-question survey and draw 6 bounding boxes around the requested item(s),Answer a 2-question survey and draw 6 bounding boxes around the requested item(s),survey and bounding box,$0.20 ,Thu Dec 05 14:44:04 PST 2019,303,BatchId:3860113;OriginalHitTemplateId:928390838;,3600,86400,Fri Dec 06 14:44:04 PST 2019,,,308XBLVESMMMW4D8854BW72S2XLRBB,AEIA157NS3EK0,Approved,Thu Dec 05 21:36:23 PST 2019,Thu Dec 05 21:39:18 PST 2019,Fri Dec 06 21:39:18 PST 2019,Fri Dec 06 21:39:30 PST 2019,,,175,100% (1/1),100% (1/1),100% (1/1),FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"[{""height"":411,""label"":""Car 1"",""left"":133,""top"":138,""width"":831},{""height"":371,""label"":""Car 2"",""left"":1481,""top"":256,""width"":617},{""height"":366,""label"":""Car 3"",""left"":2427,""top"":256,""width"":709},{""height"":352,""label"":""Car 4"",""left"":288,""top"":1147,""width"":763},{""height"":338,""label"":""Car 5"",""left"":1455,""top"":1138,""width"":654},{""height"":352,""label"":""Car 6"",""left"":2173,""top"":1079,""width"":1054}]",1523,3227,,
3QD8LUVX50G2I0KIQSEOTJTZMF1X50,3029CDJAWHX8FNMU5GV1D3SOVNZSDH,Answer a 2-question survey and draw 6 bounding boxes around the requested item(s),Answer a 2-question survey and draw 6 bounding boxes around the requested item(s),survey and bounding box,$0.20 ,Thu Dec 05 14:44:04 PST 2019,303,BatchId:3860113;OriginalHitTemplateId:928390838;,3600,86400,Fri Dec 06 14:44:04 PST 2019,,,30BXRYBRP8F1VDXG7ROD5HD7PPOHW3,AKAXNPN3073EJ,Approved,Thu Dec 05 17:21:12 PST 2019,Thu Dec 05 17:27:10 PST 2019,Fri Dec 06 17:27:10 PST 2019,Fri Dec 06 17:27:28 PST 2019,,,358,100% (1/1),100% (1/1),100% (1/1),FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"[{""height"":381,""label"":""Car 1"",""left"":153,""top"":126,""width"":832},{""height"":368,""label"":""Car 1"",""left"":114,""top"":126,""width"":832},{""height"":315,""label"":""Car 2"",""left"":1527,""top"":258,""width"":528},{""height"":315,""label"":""Car 2"",""left"":1500,""top"":271,""width"":529},{""height"":328,""label"":""Car 2"",""left"":1487,""top"":271,""width"":528},{""height"":328,""label"":""Car 3"",""left"":2451,""top"":258,""width"":713},{""height"":315,""label"":""Car 4"",""left"":285,""top"":1150,""width"":727},{""height"":355,""label"":""Car 4"",""left"":312,""top"":1137,""width"":713},{""height"":355,""label"":""Car 4"",""left"":312,""top"":1124,""width"":726},{""height"":342,""label"":""Car 5"",""left"":1434,""top"":1137,""width"":661},{""height"":328,""label"":""Car 6"",""left"":2161,""top"":1072,""width"":1043}]",1523,3227,,
3QD8LUVX50G2I0KIQSEOTJTZMF1X50,3029CDJAWHX8FNMU5GV1D3SOVNZSDH,Answer a 2-question survey and draw 6 bounding boxes around the requested item(s),Answer a 2-question survey and draw 6 bounding boxes around the requested item(s),survey and bounding box,$0.20 ,Thu Dec 05 14:44:04 PST 2019,303,BatchId:3860113;OriginalHitTemplateId:928390838;,3600,86400,Fri Dec 06 14:44:04 PST 2019,,,30IQTZXKAOO59DWAJODE18SXCANX05,AM865HGI72GRZ,Approved,Fri Dec 06 02:49:26 PST 2019,Fri Dec 06 02:51:26 PST 2019,Sat Dec 07 02:51:26 PST 2019,Sat Dec 07 02:51:28 PST 2019,,,120,100% (1/1),100% (1/1),100% (1/1),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"[{""height"":395,""label"":""Car 1"",""left"":130,""top"":125,""width"":823}]",1523,3227,,
3QD8LUVX50G2I0KIQSEOTJTZMF1X50,3029CDJAWHX8FNMU5GV1D3SOVNZSDH,Answer a 2-question survey and draw 6 bounding boxes around the requested item(s),Answer a 2-question survey and draw 6 bounding boxes around the requested item(s),survey and bounding box,$0.20 ,Thu Dec 05 14:44:04 PST 2019,303,BatchId:3860113;OriginalHitTemplateId:928390838;,3600,86400,Fri Dec 06 14:44:04 PST 2019,,,30IQTZXKAOO59DWAJODE18SXCAS0XD,AKV2CSK35JW0D,Approved,Thu Dec 05 17:15:28 PST 2019,Thu Dec 05 17:27:39 PST 2019,Fri Dec 06 17:27:39 PST 2019,Fri Dec 06 17:28:28 PST 2019,,,731,100% (1/1),100% (1/1),100% (1/1),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"[{""height"":407,""label"":""Car 4"",""left"":135,""top"":134,""width"":816},{""height"":5,""label"":""Car 4"",""left"":333,""top"":109,""width"":419}]",1523,3227,,
3QD8LUVX50G2I0KIQSEOTJTZMF1X50,3029CDJAWHX8FNMU5GV1D3SOVNZSDH,Answer a 2-question survey and draw 6 bounding boxes around the requested item(s),Answer a 2-question survey and draw 6 bounding boxes around the requested item(s),survey and bounding box,$0.20 ,Thu Dec 05 14:44:04 PST 2019,303,BatchId:3860113;OriginalHitTemplateId:928390838;,3600,86400,Fri Dec 06 14:44:04 PST 2019,,,30JNVC0ORD2WBG1UVIP7DSVL1PKHQE,A3FA5P7O80KJAP,Approved,Fri Dec 06 07:37:21 PST 2019,Fri Dec 06 07:49:13 PST 2019,Sat Dec 07 07:49:13 PST 2019,Sat Dec 07 07:49:28 PST 2019,,,712,100% (1/1),100% (1/1),100% (1/1),FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"[{""height"":388,""label"":""Car 1"",""left"":129,""top"":135,""width"":823},{""height"":340,""label"":""Car 2"",""left"":1474,""top"":270,""width"":601},{""height"":358,""label"":""Car 3"",""left"":2443,""top"":251,""width"":687},{""height"":339,""label"":""Car 4"",""left"":294,""top"":1153,""width"":745},{""height"":330,""label"":""Car 5"",""left"":1455,""top"":1143,""width"":639},{""height"":340,""label"":""Car 6"",""left"":2191,""top"":1075,""width"":1007}]",1523,3227,,
3QD8LUVX50G2I0KIQSEOTJTZMF1X50,3029CDJAWHX8FNMU5GV1D3SOVNZSDH,Answer a 2-question survey and draw 6 bounding boxes around the requested item(s),Answer a 2-question survey and draw 6 bounding boxes around the requested item(s),survey and bounding box,$0.20 ,Thu Dec 05 14:44:04 PST 2019,303,BatchId:3860113;OriginalHitTemplateId:928390838;,3600,86400,Fri Dec 06 14:44:04 PST 2019,,,30LB5CDZNGSUE8WPK61ZYT88KADZ0W,A3UN33MRCMBKB2,Approved,Fri Dec 06 00:09:57 PST 2019,Fri Dec 06 00:22:25 PST 2019,Sat Dec 07 00:22:25 PST 2019,Sat Dec 07 00:22:28 PST 2019,,,748,100% (1/1),100% (1/1),100% (1/1),FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"[{""height"":419,""label"":""Car 1"",""left"":128,""top"":116,""width"":827},{""height"":347,""label"":""Car 2"",""left"":1480,""top"":270,""width"":608},{""height"":352,""label"":""Car 3"",""left"":2446,""top"":260,""width"":684},{""height"":342,""label"":""Car 4"",""left"":296,""top"":1152,""width"":750},{""height"":321,""label"":""Car 5"",""left"":1470,""top"":1142,""width"":634},{""height"":357,""label"":""Car 6"",""left"":2180,""top"":1076,""width"":1036}]",1523,3227,,
3QD8LUVX50G2I0KIQSEOTJTZMF1X50,3029CDJAWHX8FNMU5GV1D3SOVNZSDH,Answer a 2-question survey and draw 6 bounding boxes around the requested item(s),Answer a 2-question survey and draw 6 bounding boxes around the requested item(s),survey and bounding box,$0.20 ,Thu Dec 05 14:44:04 PST 2019,303,BatchId:3860113;OriginalHitTemplateId:928390838;,3600,86400,Fri Dec 06 14:44:04 PST 2019,,,30LB5CDZNGSUE8WPK61ZYT88KAYZ0H,A2IG18D6M0GNUZ,Approved,Thu Dec 05 19:17:17 PST 2019,Thu Dec 05 19:55:24 PST 2019,Fri Dec 06 19:55:24 PST 2019,Fri Dec 06 19:55:31 PST 2019,,,2287,100% (1/1),100% (1/1),100% (1/1),FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"[{""height"":386,""label"":""Car 1"",""left"":130,""top"":134,""width"":820},{""height"":348,""label"":""Car 2"",""left"":1472,""top"":269,""width"":613},{""height"":348,""label"":""Car 3"",""left"":2450,""top"":264,""width"":675},{""height"":373,""label"":""Car 4"",""left"":294,""top"":1118,""width"":747},{""height"":310,""label"":""Car 5"",""left"":1458,""top"":1148,""width"":650},{""height"":343,""label"":""Car 6"",""left"":2170,""top"":1078,""width"":1043}]",1523,3227,,
3QD8LUVX50G2I0KIQSEOTJTZMF1X50,3029CDJAWHX8FNMU5GV1D3SOVNZSDH,Answer a 2-question survey and draw 6 bounding boxes around the requested item(s),Answer a 2-question survey and draw 6 bounding boxes around the requested item(s),survey and bounding box,$0.20 ,Thu Dec 05 14:44:04 PST 2019,303,BatchId:3860113;OriginalHitTemplateId:928390838;,3600,86400,Fri Dec 06 14:44:04 PST 2019,,,30LSNF239YDFFSATZPHRHMYXLURI2W,A1BDH3O29OKARK,Rejected,Thu Dec 05 14:47:02 PST 2019,Thu Dec 05 14:49:02 PST 2019,Fri Dec 06 14:49:02 PST 2019,,Thu Dec 05 15:39:34 PST 2019,"Thanks so much for your time and effort! However, you did not finish the bounding box task.",120,0% (0/1),0% (0/1),0% (0/1),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,[],1523,3227,,
3QD8LUVX50G2I0KIQSEOTJTZMF1X50,3029CDJAWHX8FNMU5GV1D3SOVNZSDH,Answer a 2-question survey and draw 6 bounding boxes around the requested item(s),Answer a 2-question survey and draw 6 bounding boxes around the requested item(s),survey and bounding box,$0.20 ,Thu Dec 05 14:44:04 PST 2019,303,BatchId:3860113;OriginalHitTemplateId:928390838;,3600,86400,Fri Dec 06 14:44:04 PST 2019,,,30LSNF239YDFFSATZPHRHMYXLVVI22,A20PV3RB3I0W8S,Approved,Thu Dec 05 23:54:26 PST 2019,Fri Dec 06 00:08:51 PST 2019,Sat Dec 07 00:08:51 PST 2019,Sat Dec 07 00:09:28 PST 2019,,,865,100% (1/1),100% (1/1),100% (1/1),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"[{""height"":423,""label"":""Car 1"",""left"":129,""top"":126,""width"":826},{""height"":362,""label"":""Car 2"",""left"":1464,""top"":259,""width"":624},{""height"":358,""label"":""Car 4"",""left"":2443,""top"":254,""width"":682},{""height"":351,""label"":""Car 4"",""left"":291,""top"":1147,""width"":751},{""height"":319,""label"":""Car 5"",""left"":1461,""top"":1137,""width"":651},{""height"":355,""label"":""Car 6"",""left"":2167,""top"":1071,""width"":1057}]",1523,3227,,
3QD8LUVX50G2I0KIQSEOTJTZMF1X50,3029CDJAWHX8FNMU5GV1D3SOVNZSDH,Answer a 2-question survey and draw 6 bounding boxes around the requested item(s),Answer a 2-question survey and draw 6 bounding boxes around the requested item(s),survey and bounding box,$0.20 ,Thu Dec 05 14:44:04 PST 2019,303,BatchId:3860113;OriginalHitTemplateId:928390838;,3600,86400,Fri Dec 06 14:44:04 PST 2019,,,30ZX6P7VFCDBA3UZH72RTNDXYBAJ27,A1TB220IWCMY48,Approved,Fri Dec 06 07:42:48 PST 2019,Fri Dec 06 07:50:13 PST 2019,Sat Dec 07 07:50:13 PST 2019,Sat Dec 07 07:50:28 PST 2019,,,445,100% (1/1),100% (1/1),100% (1/1),FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"[{""height"":412,""label"":""Car 1"",""left"":126,""top"":122,""width"":827},{""height"":350,""label"":""Car 2"",""left"":1472,""top"":266,""width"":615},{""height"":362,""label"":""Car 3"",""left"":2443,""top"":260,""width"":681},{""height"":339,""label"":""Car 4"",""left"":293,""top"":1153,""width"":752},{""height"":327,""label"":""Car 5"",""left"":1459,""top"":1145,""width"":650},{""height"":347,""label"":""Car 6"",""left"":2165,""top"":1076,""width"":1053}]",1523,3227,,
