WorkerId,Treat,TimeInSeconds,Survey_Q1,Survey_Q2,BoundingBoxes,gt_label,gt_bottom,gt_top,gt_left,gt_right,gt_height,gt_width,label,bottom,top,left,right,height,width,gt_area,area,euclidean_score,iou_score
AEIA157NS3EK0,0.0,175.0,4.0,1.0,"[{""height"":411,""label"":""Car 1"",""left"":133,""top"":138,""width"":831},{""height"":371,""label"":""Car 2"",""left"":1481,""top"":256,""width"":617},{""height"":366,""label"":""Car 3"",""left"":2427,""top"":256,""width"":709},{""height"":352,""label"":""Car 4"",""left"":288,""top"":1147,""width"":763},{""height"":338,""label"":""Car 5"",""left"":1455,""top"":1138,""width"":654},{""height"":352,""label"":""Car 6"",""left"":2173,""top"":1079,""width"":1054}]",Car 1,538.0,127.0,122.0,952.0,411.0,830.0,Car 1,549.0,138.0,133.0,964.0,411.0,831.0,341130.0,341541.0,31.83516978220375,0.922780746261955
AEIA157NS3EK0,0.0,175.0,4.0,1.0,"[{""height"":411,""label"":""Car 1"",""left"":133,""top"":138,""width"":831},{""height"":371,""label"":""Car 2"",""left"":1481,""top"":256,""width"":617},{""height"":366,""label"":""Car 3"",""left"":2427,""top"":256,""width"":709},{""height"":352,""label"":""Car 4"",""left"":288,""top"":1147,""width"":763},{""height"":338,""label"":""Car 5"",""left"":1455,""top"":1138,""width"":654},{""height"":352,""label"":""Car 6"",""left"":2173,""top"":1079,""width"":1054}]",Car 2,617.0,268.0,1472.0,2086.0,349.0,614.0,Car 2,627.0,256.0,1481.0,2098.0,371.0,617.0,214286.0,228907.0,30.42418679555085,0.910120748693391
AEIA157NS3EK0,0.0,175.0,4.0,1.0,"[{""height"":411,""label"":""Car 1"",""left"":133,""top"":138,""width"":831},{""height"":371,""label"":""Car 2"",""left"":1481,""top"":256,""width"":617},{""height"":366,""label"":""Car 3"",""left"":2427,""top"":256,""width"":709},{""height"":352,""label"":""Car 4"",""left"":288,""top"":1147,""width"":763},{""height"":338,""label"":""Car 5"",""left"":1455,""top"":1138,""width"":654},{""height"":352,""label"":""Car 6"",""left"":2173,""top"":1079,""width"":1054}]",Car 3,614.0,262.0,2447.0,3126.0,352.0,679.0,Car 3,622.0,256.0,2427.0,3136.0,366.0,709.0,239008.0,259494.0,33.202563018228616,0.921211190850827
AEIA157NS3EK0,0.0,175.0,4.0,1.0,"[{""height"":411,""label"":""Car 1"",""left"":133,""top"":138,""width"":831},{""height"":371,""label"":""Car 2"",""left"":1481,""top"":256,""width"":617},{""height"":366,""label"":""Car 3"",""left"":2427,""top"":256,""width"":709},{""height"":352,""label"":""Car 4"",""left"":288,""top"":1147,""width"":763},{""height"":338,""label"":""Car 5"",""left"":1455,""top"":1138,""width"":654},{""height"":352,""label"":""Car 6"",""left"":2173,""top"":1079,""width"":1054}]",Car 4,1493.0,1110.0,294.0,1043.0,383.0,749.0,Car 4,1499.0,1147.0,288.0,1051.0,352.0,763.0,286867.0,268576.0,46.34026783573397,0.8749604965001581
AEIA157NS3EK0,0.0,175.0,4.0,1.0,"[{""height"":411,""label"":""Car 1"",""left"":133,""top"":138,""width"":831},{""height"":371,""label"":""Car 2"",""left"":1481,""top"":256,""width"":617},{""height"":366,""label"":""Car 3"",""left"":2427,""top"":256,""width"":709},{""height"":352,""label"":""Car 4"",""left"":288,""top"":1147,""width"":763},{""height"":338,""label"":""Car 5"",""left"":1455,""top"":1138,""width"":654},{""height"":352,""label"":""Car 6"",""left"":2173,""top"":1079,""width"":1054}]",Car 5,1463.0,1144.0,1460.0,2111.0,319.0,651.0,Car 5,1476.0,1138.0,1455.0,2109.0,338.0,654.0,207669.0,221052.0,20.25294359752088,0.9340548308148281
AEIA157NS3EK0,0.0,175.0,4.0,1.0,"[{""height"":411,""label"":""Car 1"",""left"":133,""top"":138,""width"":831},{""height"":371,""label"":""Car 2"",""left"":1481,""top"":256,""width"":617},{""height"":366,""label"":""Car 3"",""left"":2427,""top"":256,""width"":709},{""height"":352,""label"":""Car 4"",""left"":288,""top"":1147,""width"":763},{""height"":338,""label"":""Car 5"",""left"":1455,""top"":1138,""width"":654},{""height"":352,""label"":""Car 6"",""left"":2173,""top"":1079,""width"":1054}]",Car 6,1427.0,1080.0,2171.0,3217.0,347.0,1046.0,Car 6,1431.0,1079.0,2173.0,3227.0,352.0,1054.0,362962.0,371008.0,14.52201157612047,0.9746697363519167
AKAXNPN3073EJ,0.0,358.0,4.0,2.0,"[{""height"":381,""label"":""Car 1"",""left"":153,""top"":126,""width"":832},{""height"":368,""label"":""Car 1"",""left"":114,""top"":126,""width"":832},{""height"":315,""label"":""Car 2"",""left"":1527,""top"":258,""width"":528},{""height"":315,""label"":""Car 2"",""left"":1500,""top"":271,""width"":529},{""height"":328,""label"":""Car 2"",""left"":1487,""top"":271,""width"":528},{""height"":328,""label"":""Car 3"",""left"":2451,""top"":258,""width"":713},{""height"":315,""label"":""Car 4"",""left"":285,""top"":1150,""width"":727},{""height"":355,""label"":""Car 4"",""left"":312,""top"":1137,""width"":713},{""height"":355,""label"":""Car 4"",""left"":312,""top"":1124,""width"":726},{""height"":342,""label"":""Car 5"",""left"":1434,""top"":1137,""width"":661},{""height"":328,""label"":""Car 6"",""left"":2161,""top"":1072,""width"":1043}]",Car 1,538.0,127.0,122.0,952.0,411.0,830.0,Car 1,507.0,126.0,153.0,985.0,381.0,832.0,341130.0,316992.0,76.8557684720043,0.8567140182923059
AKAXNPN3073EJ,0.0,358.0,4.0,2.0,"[{""height"":381,""label"":""Car 1"",""left"":153,""top"":126,""width"":832},{""height"":368,""label"":""Car 1"",""left"":114,""top"":126,""width"":832},{""height"":315,""label"":""Car 2"",""left"":1527,""top"":258,""width"":528},{""height"":315,""label"":""Car 2"",""left"":1500,""top"":271,""width"":529},{""height"":328,""label"":""Car 2"",""left"":1487,""top"":271,""width"":528},{""height"":328,""label"":""Car 3"",""left"":2451,""top"":258,""width"":713},{""height"":315,""label"":""Car 4"",""left"":285,""top"":1150,""width"":727},{""height"":355,""label"":""Car 4"",""left"":312,""top"":1137,""width"":713},{""height"":355,""label"":""Car 4"",""left"":312,""top"":1124,""width"":726},{""height"":342,""label"":""Car 5"",""left"":1434,""top"":1137,""width"":661},{""height"":328,""label"":""Car 6"",""left"":2161,""top"":1072,""width"":1043}]",Car 1,538.0,127.0,122.0,952.0,411.0,830.0,Car 1,494.0,126.0,114.0,946.0,368.0,832.0,341130.0,306176.0,50.804122080294015,0.8770789457719075
AKAXNPN3073EJ,0.0,358.0,4.0,2.0,"[{""height"":381,""label"":""Car 1"",""left"":153,""top"":126,""width"":832},{""height"":368,""label"":""Car 1"",""left"":114,""top"":126,""width"":832},{""height"":315,""label"":""Car 2"",""left"":1527,""top"":258,""width"":528},{""height"":315,""label"":""Car 2"",""left"":1500,""top"":271,""width"":529},{""height"":328,""label"":""Car 2"",""left"":1487,""top"":271,""width"":528},{""height"":328,""label"":""Car 3"",""left"":2451,""top"":258,""width"":713},{""height"":315,""label"":""Car 4"",""left"":285,""top"":1150,""width"":727},{""height"":355,""label"":""Car 4"",""left"":312,""top"":1137,""width"":713},{""height"":355,""label"":""Car 4"",""left"":312,""top"":1124,""width"":726},{""height"":342,""label"":""Car 5"",""left"":1434,""top"":1137,""width"":661},{""height"":328,""label"":""Car 6"",""left"":2161,""top"":1072,""width"":1043}]",Car 2,617.0,268.0,1472.0,2086.0,349.0,614.0,Car 2,573.0,258.0,1527.0,2055.0,315.0,528.0,214286.0,166320.0,103.007361561566,0.7339892989933798
AKAXNPN3073EJ,0.0,358.0,4.0,2.0,"[{""height"":381,""label"":""Car 1"",""left"":153,""top"":126,""width"":832},{""height"":368,""label"":""Car 1"",""left"":114,""top"":126,""width"":832},{""height"":315,""label"":""Car 2"",""left"":1527,""top"":258,""width"":528},{""height"":315,""label"":""Car 2"",""left"":1500,""top"":271,""width"":529},{""height"":328,""label"":""Car 2"",""left"":1487,""top"":271,""width"":528},{""height"":328,""label"":""Car 3"",""left"":2451,""top"":258,""width"":713},{""height"":315,""label"":""Car 4"",""left"":285,""top"":1150,""width"":727},{""height"":355,""label"":""Car 4"",""left"":312,""top"":1137,""width"":713},{""height"":355,""label"":""Car 4"",""left"":312,""top"":1124,""width"":726},{""height"":342,""label"":""Car 5"",""left"":1434,""top"":1137,""width"":661},{""height"":328,""label"":""Car 6"",""left"":2161,""top"":1072,""width"":1043}]",Car 2,617.0,268.0,1472.0,2086.0,349.0,614.0,Car 2,586.0,271.0,1500.0,2029.0,315.0,529.0,214286.0,166635.0,98.85208991973218,0.7780720092915215
