top,bottom,right,left,HITId,HITTypeId,Reward,AssignmentDurationInSeconds,WorkerId,AssignmentStatus,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,WorkTimeInSeconds,didbf,monitor,mousetrackpad,age,income,edu,ImageId,in_treatment,bound_size,bounding_box_score
435,578,544,152,37SDSEDIOCKDFHIRHX0KAUZPJK081M,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A182N7RLXGSCZG,Submitted,0% (0/0),0% (0/0),0% (0/0),45,no,largescreen,mouse,31to40,gt60klt90k,fouryearcollege,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,20.1646179781167
428,579,545,146,37SDSEDIOCKDFHIRHX0KAUZPJK081M,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A1LITXPXO6OBB8,Submitted,0% (0/0),0% (0/0),0% (0/0),70,no,midsize,trackpad,21to30,10ktolt30k,fouryearcollege,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,7.32820597430894
405,595,556,135,37SDSEDIOCKDFHIRHX0KAUZPJK081M,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A2OP2ZANIM5ZV,Submitted,0% (0/0),0% (0/0),0% (0/0),103,yes,midsize,mouse,21to30,10ktolt30k,fouryearcollege,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,38.4431854925245
385,622,584,120,37SDSEDIOCKDFHIRHX0KAUZPJK081M,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A21XECECA39A7I,Submitted,0% (0/0),0% (0/0),0% (0/0),108,,smalllaptop,mouse,21to30,gt30klt60k,fouryearcollege,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,102.597284100155
425,580,543,146,37SDSEDIOCKDFHIRHX0KAUZPJK081M,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A2OFJ6VNONYVK7,Submitted,0% (0/0),0% (0/0),0% (0/0),109,yes,midsize,trackpad,21to30,10ktolt30k,highschool,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,4.74388115074187
416,577,546,145,37SDSEDIOCKDFHIRHX0KAUZPJK081M,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A10BX5AD14TGMB,Submitted,0% (0/0),0% (0/0),0% (0/0),114,yes,midsize,mouse,21to30,gt30klt60k,fouryearcollege,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,12.4379236470043
377,597,580,126,37SDSEDIOCKDFHIRHX0KAUZPJK081M,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,AI0FUDIB6LJ7S,Submitted,0% (0/0),0% (0/0),0% (0/0),114,yes,tablet,mouse,21to30,10ktolt30k,fouryearcollege,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,82.4247422035885
431,585,539,145,37SDSEDIOCKDFHIRHX0KAUZPJK081M,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A16TEDRTHI8H9F,Submitted,0% (0/0),0% (0/0),0% (0/0),118,yes,midsize,mouse,21to30,10ktolt30k,fouryearcollege,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,13.3125630007246
417,586,567,126,37SDSEDIOCKDFHIRHX0KAUZPJK081M,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A3VWU0WEB2VD48,Submitted,0% (0/0),0% (0/0),0% (0/0),123,yes,tablet,mouse,21to30,10ktolt30k,fouryearcollege,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,41.4958026098335
430,580,542,146,37SDSEDIOCKDFHIRHX0KAUZPJK081M,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A3G5ZPURJ0XCBG,Submitted,0% (0/0),0% (0/0),0% (0/0),126,yes,midsize,mouse,21to30,lt10k,somecollege,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,9.37816813437388
422,586,550,138,37SDSEDIOCKDFHIRHX0KAUZPJK081M,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A1ESKJFDQUMBL4,Submitted,0% (0/0),0% (0/0),0% (0/0),136,no,largescreen,mouse,31to40,10ktolt30k,fouryearcollege,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,13.0510266860313
422,585,551,134,37SDSEDIOCKDFHIRHX0KAUZPJK081M,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A4TQSZDPARE7I,Submitted,0% (0/0),0% (0/0),0% (0/0),142,yes,midsize,mouse,21to30,gt30klt60k,fouryearcollege,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,16.8459334176911
425,582,549,146,37SDSEDIOCKDFHIRHX0KAUZPJK081M,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A1OCEC1TBE3CWA,Submitted,0% (0/0),0% (0/0),0% (0/0),144,yes,midsize,mouse,21to30,gt30klt60k,fouryearcollege,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,7.29625713703719
424,588,549,126,37SDSEDIOCKDFHIRHX0KAUZPJK081M,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,$0.20,3600,A2T3D68DRTSOTJ,Submitted,0% (0/0),0% (0/0),0% (0/0),149,yes,tablet,mouse,21to30,10ktolt30k,masterorabove,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,23.0781623029613
