HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.annotatedResult.boundingBoxes,Answer.annotatedResult.inputImageProperties.height,Answer.annotatedResult.inputImageProperties.width,Approve,Reject
3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,Draw a bounding box around 1 item (5 cents):,Draw a bounding box around 1 item ( 5 cents):,1 bounding box,$0.05,Sat Nov 30 07:10:23 PST 2019,100,BatchId:3853433;OriginalHitTemplateId:928390838;,3600,86400,Sun Dec 01 07:10:23 PST 2019,308Q0PEVBCVQFCVSKYW6R96BQEVI99,A399T8TZHW8N4J,Submitted,Sat Nov 30 07:23:36 PST 2019,Sat Nov 30 07:26:36 PST 2019,Sun Dec 01 07:26:36 PST 2019,180,0% (0/0),0% (0/0),0% (0/0),"[{""height"":158,""label"":""No Need to Do this Label"",""left"":140,""top"":425,""width"":407}]",683,1024,,
3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,Draw a bounding box around 1 item (5 cents):,Draw a bounding box around 1 item ( 5 cents):,1 bounding box,$0.05,Sat Nov 30 07:10:23 PST 2019,100,BatchId:3853433;OriginalHitTemplateId:928390838;,3600,86400,Sun Dec 01 07:10:23 PST 2019,308XBLVESMMMW4D8854BW72S1ANBRM,A3T0MVILTOUFTG,Submitted,Sat Nov 30 08:30:13 PST 2019,Sat Nov 30 08:31:13 PST 2019,Sun Dec 01 08:31:13 PST 2019,60,0% (0/0),0% (0/0),0% (0/0),"[{""height"":145,""label"":""No Need to Do this Label"",""left"":140,""top"":435,""width"":404}]",683,1024,,
3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,Draw a bounding box around 1 item (5 cents):,Draw a bounding box around 1 item ( 5 cents):,1 bounding box,$0.05,Sat Nov 30 07:10:23 PST 2019,100,BatchId:3853433;OriginalHitTemplateId:928390838;,3600,86400,Sun Dec 01 07:10:23 PST 2019,30BUDKLTXHDVYKRULPTYUE3HCP45EV,AR51TP6PH0SRS,Submitted,Sat Nov 30 07:11:47 PST 2019,Sat Nov 30 07:13:50 PST 2019,Sun Dec 01 07:13:50 PST 2019,123,0% (0/0),0% (0/0),0% (0/0),"[{""height"":152,""label"":""No Need to Do this Label"",""left"":146,""top"":427,""width"":397}]",683,1024,,
3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,Draw a bounding box around 1 item (5 cents):,Draw a bounding box around 1 item ( 5 cents):,1 bounding box,$0.05,Sat Nov 30 07:10:23 PST 2019,100,BatchId:3853433;OriginalHitTemplateId:928390838;,3600,86400,Sun Dec 01 07:10:23 PST 2019,30H4UDGLT60X3I1QM2QV5SD7CR7MPY,A3O8LQ9KOYD6U2,Submitted,Sat Nov 30 09:07:35 PST 2019,Sat Nov 30 09:09:13 PST 2019,Sun Dec 01 09:09:13 PST 2019,98,0% (0/0),0% (0/0),0% (0/0),"[{""height"":65,""label"":""No Need to Do this Label"",""left"":149,""top"":376,""width"":8},{""height"":153,""label"":""No Need to Do this Label"",""left"":146,""top"":429,""width"":395}]",683,1024,,
3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,Draw a bounding box around 1 item (5 cents):,Draw a bounding box around 1 item ( 5 cents):,1 bounding box,$0.05,Sat Nov 30 07:10:23 PST 2019,100,BatchId:3853433;OriginalHitTemplateId:928390838;,3600,86400,Sun Dec 01 07:10:23 PST 2019,30JNVC0ORD2WBG1UVIP7DSVL01LQHB,A7ZZIZYF56HT9,Submitted,Sat Nov 30 07:46:44 PST 2019,Sat Nov 30 07:49:54 PST 2019,Sun Dec 01 07:49:54 PST 2019,190,0% (0/0),0% (0/0),0% (0/0),"[{""height"":152,""label"":""No Need to Do this Label"",""left"":145,""top"":428,""width"":399}]",683,1024,,
3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,Draw a bounding box around 1 item (5 cents):,Draw a bounding box around 1 item ( 5 cents):,1 bounding box,$0.05,Sat Nov 30 07:10:23 PST 2019,100,BatchId:3853433;OriginalHitTemplateId:928390838;,3600,86400,Sun Dec 01 07:10:23 PST 2019,31QTRG6Q2XVXXZQ455E6ZN0EL1JPYP,A38ANH01YAKUOH,Submitted,Sat Nov 30 08:51:59 PST 2019,Sat Nov 30 08:52:53 PST 2019,Sun Dec 01 08:52:53 PST 2019,54,0% (0/0),0% (0/0),0% (0/0),"[{""height"":154,""label"":""No Need to Do this Label"",""left"":146,""top"":429,""width"":397}]",683,1024,,
3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,Draw a bounding box around 1 item (5 cents):,Draw a bounding box around 1 item ( 5 cents):,1 bounding box,$0.05,Sat Nov 30 07:10:23 PST 2019,100,BatchId:3853433;OriginalHitTemplateId:928390838;,3600,86400,Sun Dec 01 07:10:23 PST 2019,31T4R4OBOWYVOQLZDR202AHAIJPC7R,A2S2OS8CIO5END,Submitted,Sat Nov 30 07:53:37 PST 2019,Sat Nov 30 07:55:09 PST 2019,Sun Dec 01 07:55:09 PST 2019,92,0% (0/0),0% (0/0),0% (0/0),"[{""height"":152,""label"":""No Need to Do this Label"",""left"":143,""top"":428,""width"":404}]",683,1024,,
3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,Draw a bounding box around 1 item (5 cents):,Draw a bounding box around 1 item ( 5 cents):,1 bounding box,$0.05,Sat Nov 30 07:10:23 PST 2019,100,BatchId:3853433;OriginalHitTemplateId:928390838;,3600,86400,Sun Dec 01 07:10:23 PST 2019,32SVAV9L3JRPUSNER13JJYF6DEQ3AJ,AYKJBFA140I81,Submitted,Sat Nov 30 09:03:52 PST 2019,Sat Nov 30 09:04:41 PST 2019,Sun Dec 01 09:04:41 PST 2019,49,0% (0/0),0% (0/0),0% (0/0),"[{""height"":154,""label"":""No Need to Do this Label"",""left"":146,""top"":428,""width"":402}]",683,1024,,
3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,Draw a bounding box around 1 item (5 cents):,Draw a bounding box around 1 item ( 5 cents):,1 bounding box,$0.05,Sat Nov 30 07:10:23 PST 2019,100,BatchId:3853433;OriginalHitTemplateId:928390838;,3600,86400,Sun Dec 01 07:10:23 PST 2019,32XVDSJFP3F1BB0KK4FJ9F5E1HAM26,A2KF6N5JCEEA2G,Submitted,Sat Nov 30 08:23:28 PST 2019,Sat Nov 30 08:24:07 PST 2019,Sun Dec 01 08:24:07 PST 2019,39,0% (0/0),0% (0/0),0% (0/0),"[{""height"":172,""label"":""No Need to Do this Label"",""left"":134,""top"":420,""width"":431}]",683,1024,,
3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,Draw a bounding box around 1 item (5 cents):,Draw a bounding box around 1 item ( 5 cents):,1 bounding box,$0.05,Sat Nov 30 07:10:23 PST 2019,100,BatchId:3853433;OriginalHitTemplateId:928390838;,3600,86400,Sun Dec 01 07:10:23 PST 2019,32Z9ZLUT1P2TQ4OEG5X3ON0LL01HOS,A3RUKVMI0RQ7HZ,Submitted,Sat Nov 30 07:18:59 PST 2019,Sat Nov 30 07:23:56 PST 2019,Sun Dec 01 07:23:56 PST 2019,297,0% (0/0),0% (0/0),0% (0/0),"[{""height"":154,""label"":""No Need to Do this Label"",""left"":145,""top"":426,""width"":398}]",683,1024,,
3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,Draw a bounding box around 1 item (5 cents):,Draw a bounding box around 1 item ( 5 cents):,1 bounding box,$0.05,Sat Nov 30 07:10:23 PST 2019,100,BatchId:3853433;OriginalHitTemplateId:928390838;,3600,86400,Sun Dec 01 07:10:23 PST 2019,33CID57108B6QBEIOSS9SCVH7QEL38,A1APCXH990DEK,Submitted,Sat Nov 30 07:14:44 PST 2019,Sat Nov 30 07:25:48 PST 2019,Sun Dec 01 07:25:48 PST 2019,664,0% (0/0),0% (0/0),0% (0/0),"[{""height"":153,""label"":""No Need to Do this Label"",""left"":146,""top"":426,""width"":399}]",683,1024,,
3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,Draw a bounding box around 1 item (5 cents):,Draw a bounding box around 1 item ( 5 cents):,1 bounding box,$0.05,Sat Nov 30 07:10:23 PST 2019,100,BatchId:3853433;OriginalHitTemplateId:928390838;,3600,86400,Sun Dec 01 07:10:23 PST 2019,33CKWXB73N2XQ1WZ8EW7K476B0V11Q,A2BW8H2IGOKBWD,Submitted,Sat Nov 30 07:11:53 PST 2019,Sat Nov 30 07:14:19 PST 2019,Sun Dec 01 07:14:19 PST 2019,146,0% (0/0),0% (0/0),0% (0/0),"[{""height"":154,""label"":""No Need to Do this Label"",""left"":150,""top"":429,""width"":394}]",683,1024,,
