top,bottom,right,left,HITId,HITTypeId,Reward,AssignmentDurationInSeconds,WorkerId,AssignmentStatus,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,WorkTimeInSeconds,experiment_no,is_pilot,didbf,monitor,mousetrackpad,age,income,edu,is_mobile,mousetrackpad2,ImageId,in_treatment,bound_size,bounding_box_score
425,583,547,140,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A399T8TZHW8N4J,Submitted,0% (0/0),0% (0/0),0% (0/0),180,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,6.47331490612813
435,580,544,140,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A3T0MVILTOUFTG,Submitted,0% (0/0),0% (0/0),0% (0/0),60,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,14.5242550305538
427,579,543,146,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,AR51TP6PH0SRS,Submitted,0% (0/0),0% (0/0),0% (0/0),123,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,6.73104435053479
376,441,157,149,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A3O8LQ9KOYD6U2,Submitted,0% (0/0),0% (0/0),0% (0/0),98,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,530.714083979076
429,582,541,146,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A3O8LQ9KOYD6U2,Submitted,0% (0/0),0% (0/0),0% (0/0),98,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,9.00767409843361
428,580,544,145,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A7ZZIZYF56HT9,Submitted,0% (0/0),0% (0/0),0% (0/0),190,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,5.97170960094195
429,583,543,146,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A38ANH01YAKUOH,Submitted,0% (0/0),0% (0/0),0% (0/0),54,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,8.5741294863182
428,580,547,143,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A2S2OS8CIO5END,Submitted,0% (0/0),0% (0/0),0% (0/0),92,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,5.70713476507694
428,582,548,146,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,AYKJBFA140I81,Submitted,0% (0/0),0% (0/0),0% (0/0),49,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,8.04699286771566
420,592,565,134,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A2KF6N5JCEEA2G,Submitted,0% (0/0),0% (0/0),0% (0/0),39,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,35.1925309309767
