top,bottom,right,left,HITId,HITTypeId,Reward,AssignmentDurationInSeconds,WorkerId,AssignmentStatus,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,WorkTimeInSeconds,experiment_no,is_pilot,didbf,monitor,mousetrackpad,age,income,edu,is_mobile,is_cellphone,mousetrackpad2,ImageId,in_treatment,bound_size,bounding_box_score
427,578,543,147,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,A2JB75GVQUIJ0Z,Submitted,0% (0/0),0% (0/0),0% (0/0),29,7,0,,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,8.13595386933982
427,581,545,142,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,A2R94TPU1TG9OR,Submitted,0% (0/0),0% (0/0),0% (0/0),38,7,0,,,trackpad,,,,FALSE,FALSE,trackpad,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,4.38152279488342
422,582,557,146,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,AT0HCQ06QZN7Q,Submitted,0% (0/0),0% (0/0),0% (0/0),102,7,0,,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,15.3438147478593
575,657,411,403,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,AT0HCQ06QZN7Q,Submitted,0% (0/0),0% (0/0),0% (0/0),102,7,0,,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,472.179385796128
573,645,396,373,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,AT0HCQ06QZN7Q,Submitted,0% (0/0),0% (0/0),0% (0/0),102,7,0,,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,448.854963128415
499,499,553,553,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,AT0HCQ06QZN7Q,Submitted,0% (0/0),0% (0/0),0% (0/0),102,7,0,,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,493.23108934976
464,464,563,563,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,AT0HCQ06QZN7Q,Submitted,0% (0/0),0% (0/0),0% (0/0),102,7,0,,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,479.657567815349
425,579,543,145,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,AEC6T7DOTVBOZ,Submitted,0% (0/0),0% (0/0),0% (0/0),260,7,0,,,mouse,,,,FALSE,FALSE,mouse,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,4.50725925821921
425,581,544,146,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,A3FJ63VPIUFJA7,Submitted,0% (0/0),0% (0/0),0% (0/0),172,7,0,,,trackpad,,,,FALSE,FALSE,trackpad,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,3.82726576637245
426,586,547,146,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,ABXHUENIZEKH3,Submitted,0% (0/0),0% (0/0),0% (0/0),57,7,0,,,mouse,,,,FALSE,FALSE,mouse,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,8.74764361341435
424,579,548,146,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,AHFEDGGIOG8DK,Submitted,0% (0/0),0% (0/0),0% (0/0),95,7,0,,,touchscreen,,,,TRUE,TRUE,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,6.67203864711752
428,584,547,140,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,ADMTBAW0O1I30,Submitted,0% (0/0),0% (0/0),0% (0/0),40,7,0,,,mouse,,,,FALSE,FALSE,mouse,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,9.14870619561966
