top,bottom,right,left,HITId,HITTypeId,Reward,AssignmentDurationInSeconds,WorkerId,AssignmentStatus,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,WorkTimeInSeconds,experiment_no,is_pilot,didbf,monitor,mousetrackpad,age,income,edu,ImageId,in_treatment,bound_size,bounding_box_score
441,693,552,361,37NXA7GVTWOOG0I8I0TDMNSBSMSLVS,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,A3RD75HSSMVHKM,Submitted,0% (0/0),0% (0/0),0% (0/0),10,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/1002f337f91b7932.jpg,0,28931.46609375,227.178115340706
450,669,529,369,37NXA7GVTWOOG0I8I0TDMNSBSMSLVS,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,ABBMKMTKDC065,Submitted,0% (0/0),0% (0/0),0% (0/0),19,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/1002f337f91b7932.jpg,0,28931.46609375,197.553787027197
439,657,531,366,37NXA7GVTWOOG0I8I0TDMNSBSMSLVS,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,AZIAQJWXTSFUX,Submitted,0% (0/0),0% (0/0),0% (0/0),12,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/1002f337f91b7932.jpg,0,28931.46609375,178.752547478093
464,642,519,360,37NXA7GVTWOOG0I8I0TDMNSBSMSLVS,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,A10HVCH6Y0N7SJ,Submitted,0% (0/0),0% (0/0),0% (0/0),197,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/1002f337f91b7932.jpg,0,28931.46609375,175.453063793038
458,660,525,371,37NXA7GVTWOOG0I8I0TDMNSBSMSLVS,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,A2FJ8YQ6VHGD2L,Submitted,0% (0/0),0% (0/0),0% (0/0),99,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/1002f337f91b7932.jpg,0,28931.46609375,194.582599367253
459,661,537,368,37NXA7GVTWOOG0I8I0TDMNSBSMSLVS,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,A1FPCIKO68OQ63,Submitted,0% (0/0),0% (0/0),0% (0/0),11,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/1002f337f91b7932.jpg,0,28931.46609375,202.026354875251
460,663,527,366,37NXA7GVTWOOG0I8I0TDMNSBSMSLVS,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,A2FZ88OU42EFC8,Submitted,0% (0/0),0% (0/0),0% (0/0),75,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/1002f337f91b7932.jpg,0,28931.46609375,197.633242526576
450,659,534,358,37NXA7GVTWOOG0I8I0TDMNSBSMSLVS,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,A255Z4TRTBZLKV,Submitted,0% (0/0),0% (0/0),0% (0/0),33,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/1002f337f91b7932.jpg,0,28931.46609375,187.083321234119
459,641,527,361,37NXA7GVTWOOG0I8I0TDMNSBSMSLVS,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,A2AI293TGSIILE,Submitted,0% (0/0),0% (0/0),0% (0/0),24,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/1002f337f91b7932.jpg,0,28931.46609375,175.089712404528
462,650,527,364,37NXA7GVTWOOG0I8I0TDMNSBSMSLVS,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,A3G0UTSYPCMFBU,Submitted,0% (0/0),0% (0/0),0% (0/0),279,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/1002f337f91b7932.jpg,0,28931.46609375,186.864031670793
464,659,525,379,37NXA7GVTWOOG0I8I0TDMNSBSMSLVS,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,A1LFKPNCX23XN6,Submitted,0% (0/0),0% (0/0),0% (0/0),33,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/1002f337f91b7932.jpg,0,28931.46609375,202.981624972298
447,663,531,368,37NXA7GVTWOOG0I8I0TDMNSBSMSLVS,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,AE2N5QUSIL9JE,Submitted,0% (0/0),0% (0/0),0% (0/0),6,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/1002f337f91b7932.jpg,0,28931.46609375,190.782038148147
476,670,566,348,37NXA7GVTWOOG0I8I0TDMNSBSMSLVS,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,A1L89JD0FAS0Q,Submitted,0% (0/0),0% (0/0),0% (0/0),7,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/1002f337f91b7932.jpg,0,28931.46609375,234.941581242132
462,658,526,374,37NXA7GVTWOOG0I8I0TDMNSBSMSLVS,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,A3NBJ2WSWYJPWY,Submitted,0% (0/0),0% (0/0),0% (0/0),21,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/1002f337f91b7932.jpg,0,28931.46609375,198.287122904543
451,655,522,366,37NXA7GVTWOOG0I8I0TDMNSBSMSLVS,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,A1G85JMLZY7B28,Submitted,0% (0/0),0% (0/0),0% (0/0),348,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/1002f337f91b7932.jpg,0,28931.46609375,180.311348247846
443,667,539,367,37NXA7GVTWOOG0I8I0TDMNSBSMSLVS,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,A2JKM9ZTUWHVPF,Submitted,100% (1/1),100% (1/1),100% (1/1),194,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/1002f337f91b7932.jpg,0,28931.46609375,196.657184192938
461,660,522,371,37NXA7GVTWOOG0I8I0TDMNSBSMSLVS,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,AOMFEAWQHU3D8,Submitted,0% (0/0),0% (0/0),0% (0/0),27,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/1002f337f91b7932.jpg,0,28931.46609375,195.467762174967
435,667,535,362,37NXA7GVTWOOG0I8I0TDMNSBSMSLVS,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,AMMUQ5FYIZ1GQ,Submitted,0% (0/0),0% (0/0),0% (0/0),611,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/1002f337f91b7932.jpg,0,28931.46609375,186.24220165177
448,693,537,357,37NXA7GVTWOOG0I8I0TDMNSBSMSLVS,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,A2AZEEKX5O8J4N,Submitted,0% (0/0),0% (0/0),0% (0/0),351,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/1002f337f91b7932.jpg,0,28931.46609375,219.257306815203
441,646,533,375,37NXA7GVTWOOG0I8I0TDMNSBSMSLVS,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,A3DB4V3R2RXTKU,Submitted,0% (0/0),0% (0/0),0% (0/0),390,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/1002f337f91b7932.jpg,0,28931.46609375,177.074601209515
390,471,1024,856,3EHIMLB7GAHOJS35JM352HFW07IH8C,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,A2AZEEKX5O8J4N,Submitted,0% (0/0),0% (0/0),0% (0/0),83,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/101fa29afd6608fc.jpg,0,10923.1644672,22.61807805795
394,459,1019,861,3EHIMLB7GAHOJS35JM352HFW07IH8C,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,A2LAE3OM5OQ0WF,Submitted,0% (0/0),0% (0/0),0% (0/0),31,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/101fa29afd6608fc.jpg,0,10923.1644672,14.0898352178299
396,459,1024,859,3EHIMLB7GAHOJS35JM352HFW07IH8C,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,A1ULHXPHPJRQVZ,Submitted,0% (0/0),0% (0/0),0% (0/0),17,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/101fa29afd6608fc.jpg,0,10923.1644672,18.9432319227738
395,462,1024,857,3EHIMLB7GAHOJS35JM352HFW07IH8C,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,A2ZY1BYHGB34W5,Submitted,0% (0/0),0% (0/0),0% (0/0),251,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/101fa29afd6608fc.jpg,0,10923.1644672,16.7665712588035
392,460,1020,859,3EHIMLB7GAHOJS35JM352HFW07IH8C,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,AJY5G987IRT25,Submitted,0% (0/0),0% (0/0),0% (0/0),12,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/101fa29afd6608fc.jpg,0,10923.1644672,13.1318807649228
392,474,1024,859,3EHIMLB7GAHOJS35JM352HFW07IH8C,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,AE2N5QUSIL9JE,Submitted,0% (0/0),0% (0/0),0% (0/0),13,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/101fa29afd6608fc.jpg,0,10923.1644672,25.1161212203563
392,463,1020,855,3EHIMLB7GAHOJS35JM352HFW07IH8C,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,A1FPCIKO68OQ63,Submitted,0% (0/0),0% (0/0),0% (0/0),17,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/101fa29afd6608fc.jpg,0,10923.1644672,14.0094817241555
399,458,1020,859,3EHIMLB7GAHOJS35JM352HFW07IH8C,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,A3NBJ2WSWYJPWY,Submitted,0% (0/0),0% (0/0),0% (0/0),26,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/101fa29afd6608fc.jpg,0,10923.1644672,17.8702548119624
397,458,1019,858,3EHIMLB7GAHOJS35JM352HFW07IH8C,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,A30N5H4N4C22N8,Submitted,0% (0/0),0% (0/0),0% (0/0),129,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/101fa29afd6608fc.jpg,0,10923.1644672,15.9601577372581
393,464,1022,851,3EHIMLB7GAHOJS35JM352HFW07IH8C,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,AMO9QDNF1R150,Submitted,0% (0/0),0% (0/0),0% (0/0),15,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/101fa29afd6608fc.jpg,0,10923.1644672,20.1876419861028
379,491,1024,851,3EHIMLB7GAHOJS35JM352HFW07IH8C,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,AMMUQ5FYIZ1GQ,Submitted,0% (0/0),0% (0/0),0% (0/0),107,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/101fa29afd6608fc.jpg,0,10923.1644672,47.5876045711061
376,490,1024,839,3EHIMLB7GAHOJS35JM352HFW07IH8C,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,AWITQJV4D1QA4,Submitted,0% (0/0),0% (0/0),0% (0/0),34,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/101fa29afd6608fc.jpg,0,10923.1644672,54.1022597020536
371,518,1024,818,3EHIMLB7GAHOJS35JM352HFW07IH8C,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,AXZBVDVY0VM3V,Submitted,0% (0/0),0% (0/0),0% (0/0),35,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/101fa29afd6608fc.jpg,0,10923.1644672,92.9877152936238
395,459,1020,859,3EHIMLB7GAHOJS35JM352HFW07IH8C,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,A2FJ8YQ6VHGD2L,Submitted,0% (0/0),0% (0/0),0% (0/0),427,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/101fa29afd6608fc.jpg,0,10923.1644672,14.8464480449937
395,454,1018,857,3EHIMLB7GAHOJS35JM352HFW07IH8C,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,A1SM0IKQ4OTSCI,Submitted,0% (0/0),0% (0/0),0% (0/0),45,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/101fa29afd6608fc.jpg,0,10923.1644672,18.2101561496444
396,458,1020,859,3EHIMLB7GAHOJS35JM352HFW07IH8C,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,AGJTTK50503VZ,Submitted,0% (0/0),0% (0/0),0% (0/0),143,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/101fa29afd6608fc.jpg,0,10923.1644672,16.2533907346475
382,464,1024,858,3EHIMLB7GAHOJS35JM352HFW07IH8C,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,A10HVCH6Y0N7SJ,Submitted,0% (0/0),0% (0/0),0% (0/0),251,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/101fa29afd6608fc.jpg,0,10923.1644672,18.0427333162164
391,461,1024,854,3EHIMLB7GAHOJS35JM352HFW07IH8C,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,A3G0UTSYPCMFBU,Submitted,0% (0/0),0% (0/0),0% (0/0),612,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/101fa29afd6608fc.jpg,0,10923.1644672,19.3539359116319
386,463,1017,845,3EHIMLB7GAHOJS35JM352HFW07IH8C,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,AEDNG2VYAA8NX,Submitted,0% (0/0),0% (0/0),0% (0/0),6,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/101fa29afd6608fc.jpg,0,10923.1644672,22.5475486730679
392,462,1020,857,3EHIMLB7GAHOJS35JM352HFW07IH8C,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,A2FZ88OU42EFC8,Submitted,0% (0/0),0% (0/0),0% (0/0),567,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/101fa29afd6608fc.jpg,0,10923.1644672,12.2588947888285
389,485,1024,1004,3ZQX1VYFUGNYB9PSNZYVMQCXCTWO87,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,A2G5GGLXD2KSZS,Submitted,0% (0/0),0% (0/0),0% (0/0),165,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/10496f2878b93ee9.jpg,0,197181.8201088,1080.34878935139
320,581,855,119,3ZQX1VYFUGNYB9PSNZYVMQCXCTWO87,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,A2G5GGLXD2KSZS,Submitted,0% (0/0),0% (0/0),0% (0/0),165,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/10496f2878b93ee9.jpg,0,197181.8201088,13.092521958372
318,618,859,81,3ZQX1VYFUGNYB9PSNZYVMQCXCTWO87,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,A3RD75HSSMVHKM,Submitted,0% (0/0),0% (0/0),0% (0/0),14,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/10496f2878b93ee9.jpg,0,197181.8201088,56.6279308096408
304,606,866,111,3ZQX1VYFUGNYB9PSNZYVMQCXCTWO87,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,A3UXXT6KP7MIRG,Submitted,0% (0/0),0% (0/0),0% (0/0),113,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/10496f2878b93ee9.jpg,0,197181.8201088,40.7892472326651
274,588,916,81,3ZQX1VYFUGNYB9PSNZYVMQCXCTWO87,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,AWITQJV4D1QA4,Submitted,0% (0/0),0% (0/0),0% (0/0),33,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/10496f2878b93ee9.jpg,0,197181.8201088,105.34084460596
319,582,936,84,3ZQX1VYFUGNYB9PSNZYVMQCXCTWO87,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,AEDNG2VYAA8NX,Submitted,0% (0/0),0% (0/0),0% (0/0),10,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/10496f2878b93ee9.jpg,0,197181.8201088,109.977079093567
312,577,865,111,3ZQX1VYFUGNYB9PSNZYVMQCXCTWO87,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,A10HVCH6Y0N7SJ,Submitted,0% (0/0),0% (0/0),0% (0/0),12,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/10496f2878b93ee9.jpg,0,197181.8201088,12.4063809597552
320,584,861,124,3ZQX1VYFUGNYB9PSNZYVMQCXCTWO87,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,A2U7U0A4G92GTR,Submitted,0% (0/0),0% (0/0),0% (0/0),21,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/10496f2878b93ee9.jpg,0,197181.8201088,20.6208891763775
311,577,857,122,3ZQX1VYFUGNYB9PSNZYVMQCXCTWO87,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,AMMUQ5FYIZ1GQ,Submitted,0% (0/0),0% (0/0),0% (0/0),460,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/10496f2878b93ee9.jpg,0,197181.8201088,11.3427488058444
315,584,866,116,3ZQX1VYFUGNYB9PSNZYVMQCXCTWO87,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,A255Z4TRTBZLKV,Submitted,0% (0/0),0% (0/0),0% (0/0),27,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/10496f2878b93ee9.jpg,0,197181.8201088,16.2039714174472
321,580,861,117,3ZQX1VYFUGNYB9PSNZYVMQCXCTWO87,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,A2ZD05YZ9CKQ0D,Submitted,0% (0/0),0% (0/0),0% (0/0),30,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/10496f2878b93ee9.jpg,0,197181.8201088,13.459478185534
318,581,864,113,3ZQX1VYFUGNYB9PSNZYVMQCXCTWO87,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,A16VLS2Z2GYR29,Submitted,0% (0/0),0% (0/0),0% (0/0),74,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/10496f2878b93ee9.jpg,0,197181.8201088,11.7263272328923
