HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.image_url,Answer.annotatedResult.boundingBoxes,Answer.annotatedResult.inputImageProperties.height,Answer.annotatedResult.inputImageProperties.width,Approve,Reject,bounding_box_score
39AYGO6AGI2TPA6ST51KNNG1GMS6NB,3DQQATL6OWW6LD057T0U6XSV9BS4IA,Est 2-to-3 minute job for 35 cents: Draw bounding box around 20 items,Draw bounding boxes around the requested item(s),bounding box,$0.02,Wed Nov 20 21:03:26 PST 2019,25,BatchId:3843733;OriginalHitTemplateId:928390838;,3600,259200,Sat Nov 23 21:03:26 PST 2019,,,3TE3O85734QS8RDCPCB0VEZO62HR22,A2HUTXBZ4YCVYT,Submitted,Wed Nov 20 21:19:35 PST 2019,Wed Nov 20 21:39:47 PST 2019,Sat Nov 23 21:39:47 PST 2019,,,,1212,100% (1/1),100% (1/1),100% (1/1),https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/1002f337f91b7932.jpg,"[{""""height"""":200,""""label"""":""""Car"""",""""left"""":376,""""top"""":458,""""width"""":137}]",1024,1024,,,189.305604100756
32TMVRKDHQGU7GFA4FJM8S6SV0N480,3DQQATL6OWW6LD057T0U6XSV9BS4IA,Est 2-to-3 minute job for 35 cents: Draw bounding box around 20 items,Draw bounding boxes around the requested item(s),bounding box,$0.02,Wed Nov 20 21:03:26 PST 2019,25,BatchId:3843733;OriginalHitTemplateId:928390838;,3600,259200,Sat Nov 23 21:03:26 PST 2019,,,3FE2ERCCZ1QL3LM2ZI58XW2C6PPOPD,A2HUTXBZ4YCVYT,Submitted,Wed Nov 20 21:19:26 PST 2019,Wed Nov 20 21:35:28 PST 2019,Sat Nov 23 21:35:28 PST 2019,,,,962,100% (1/1),100% (1/1),100% (1/1),https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/101fa29afd6608fc.jpg,"[{""""height"""":56,""""label"""":""""Car"""",""""left"""":861,""""top"""":398,""""width"""":158}]",576,1024,,,20.7113258180963
3W3RSPVVHV9O3LT8DAJ8Q1QSED9ULY,3DQQATL6OWW6LD057T0U6XSV9BS4IA,Est 2-to-3 minute job for 35 cents: Draw bounding box around 20 items,Draw bounding boxes around the requested item(s),bounding box,$0.02,Wed Nov 20 21:03:26 PST 2019,25,BatchId:3843733;OriginalHitTemplateId:928390838;,3600,259200,Sat Nov 23 21:03:26 PST 2019,,,3DI28L7YXEWWA2QBK2RMROQ0Z7E1EJ,A2HUTXBZ4YCVYT,Submitted,Wed Nov 20 21:19:28 PST 2019,Wed Nov 20 21:36:40 PST 2019,Sat Nov 23 21:36:40 PST 2019,,,,1032,100% (1/1),100% (1/1),100% (1/1),https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/10496f2878b93ee9.jpg,"[{""""height"""":258,""""label"""":""""Car"""",""""left"""":121,""""top"""":322,""""width"""":730}]",768,1024,,,17.9285794333298
3SMIWMMK74N4EF57HOQAZC78CKDWUT,3DQQATL6OWW6LD057T0U6XSV9BS4IA,Est 2-to-3 minute job for 35 cents: Draw bounding box around 20 items,Draw bounding boxes around the requested item(s),bounding box,$0.02,Wed Nov 20 21:03:26 PST 2019,25,BatchId:3843733;OriginalHitTemplateId:928390838;,3600,259200,Sat Nov 23 21:03:26 PST 2019,,,3MMN5BL1W3MQWTW3O4TOSPA66TIM3K,A2HUTXBZ4YCVYT,Submitted,Wed Nov 20 21:19:19 PST 2019,Wed Nov 20 21:33:25 PST 2019,Sat Nov 23 21:33:25 PST 2019,,,,846,100% (1/1),100% (1/1),100% (1/1),https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/104b3a47edc67285.jpg,"[{""""height"""":267,""""label"""":""""Car"""",""""left"""":313,""""top"""":711,""""width"""":194}]",1024,685,,,1020.6140342913
3O0M2G5VD9KULLYK97P08O13F6549P,3DQQATL6OWW6LD057T0U6XSV9BS4IA,Est 2-to-3 minute job for 35 cents: Draw bounding box around 20 items,Draw bounding boxes around the requested item(s),bounding box,$0.02,Wed Nov 20 21:03:26 PST 2019,25,BatchId:3843733;OriginalHitTemplateId:928390838;,3600,259200,Sat Nov 23 21:03:26 PST 2019,,,34PGFRQONSTXMJS6VRRYHUTM0SIWJX,A2HUTXBZ4YCVYT,Submitted,Wed Nov 20 21:19:49 PST 2019,Wed Nov 20 21:45:29 PST 2019,Sat Nov 23 21:45:29 PST 2019,,,,1540,100% (1/1),100% (1/1),100% (1/1),https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/108eeb6df9f6b036.jpg,"[{""""height"""":156,""""label"""":""""Car"""",""""left"""":540,""""top"""":394,""""width"""":431}]",740,1024,,,27.961876330966
335VBRUREMICDNVDYD1DHADUSVZ9E0,3DQQATL6OWW6LD057T0U6XSV9BS4IA,Est 2-to-3 minute job for 35 cents: Draw bounding box around 20 items,Draw bounding boxes around the requested item(s),bounding box,$0.02,Wed Nov 20 21:03:26 PST 2019,25,BatchId:3843733;OriginalHitTemplateId:928390838;,3600,259200,Sat Nov 23 21:03:26 PST 2019,,,30LB5CDZNGSUE8WPK61ZYT88ILGZ0J,A2HUTXBZ4YCVYT,Submitted,Wed Nov 20 21:19:04 PST 2019,Wed Nov 20 21:29:00 PST 2019,Sat Nov 23 21:29:00 PST 2019,,,,596,100% (1/1),100% (1/1),100% (1/1),https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,"[{""""height"""":139,""""label"""":""""Car"""",""""left"""":147,""""top"""":431,""""width"""":391}]",683,1024,,,21.2349081511669
39KV3A5D2BP99NC2KBNYSVQ3YWJS77,3DQQATL6OWW6LD057T0U6XSV9BS4IA,Est 2-to-3 minute job for 35 cents: Draw bounding box around 20 items,Draw bounding boxes around the requested item(s),bounding box,$0.02,Wed Nov 20 21:03:26 PST 2019,25,BatchId:3843733;OriginalHitTemplateId:928390838;,3600,259200,Sat Nov 23 21:03:26 PST 2019,,,3U84XHCDIGVBDWEQ37O1AWYLZXWZ4Z,A2HUTXBZ4YCVYT,Submitted,Wed Nov 20 21:19:50 PST 2019,Wed Nov 20 21:45:58 PST 2019,Sat Nov 23 21:45:58 PST 2019,,,,1568,100% (1/1),100% (1/1),100% (1/1),https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/117c0a56e9f25a6c.jpg,"[{""""height"""":227,""""label"""":""""Car"""",""""left"""":232,""""top"""":302,""""width"""":463}]",686,1024,,,63.4603735612979
3B623HUYK78D91HLUGF46VMY9GPS8U,3DQQATL6OWW6LD057T0U6XSV9BS4IA,Est 2-to-3 minute job for 35 cents: Draw bounding box around 20 items,Draw bounding boxes around the requested item(s),bounding box,$0.02,Wed Nov 20 21:03:27 PST 2019,25,BatchId:3843733;OriginalHitTemplateId:928390838;,3600,259200,Sat Nov 23 21:03:27 PST 2019,,,3NL0RFNU0J5GO1F436LRNHA8VOJK4Y,A2HUTXBZ4YCVYT,Submitted,Wed Nov 20 21:19:06 PST 2019,Wed Nov 20 21:30:41 PST 2019,Sat Nov 23 21:30:41 PST 2019,,,,695,100% (1/1),100% (1/1),100% (1/1),https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/118ae565963194f2.jpg,"[{""""height"""":114,""""label"""":""""Car"""",""""left"""":544,""""top"""":620,""""width"""":251}]",768,1024,,,8.81721433952886
3QTFNPMJD90VDKQ3VAYVKL9WLQOZNU,3DQQATL6OWW6LD057T0U6XSV9BS4IA,Est 2-to-3 minute job for 35 cents: Draw bounding box around 20 items,Draw bounding boxes around the requested item(s),bounding box,$0.02,Wed Nov 20 21:03:27 PST 2019,25,BatchId:3843733;OriginalHitTemplateId:928390838;,3600,259200,Sat Nov 23 21:03:27 PST 2019,,,37UEWGM5HXQLJ6VG68BMQVPJEW3R1L,A2HUTXBZ4YCVYT,Submitted,Wed Nov 20 21:19:25 PST 2019,Wed Nov 20 21:34:20 PST 2019,Sat Nov 23 21:34:20 PST 2019,,,,895,100% (1/1),100% (1/1),100% (1/1),https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/11a5ec59de4bf422.jpg,"[{""""height"""":101,""""label"""":""""Car"""",""""left"""":557,""""top"""":375,""""width"""":195}]",768,1024,,,8.395483299161
3E24UO25R28B7V64UK1X2CG66WX6OQ,3DQQATL6OWW6LD057T0U6XSV9BS4IA,Est 2-to-3 minute job for 35 cents: Draw bounding box around 20 items,Draw bounding boxes around the requested item(s),bounding box,$0.02,Wed Nov 20 21:03:27 PST 2019,25,BatchId:3843733;OriginalHitTemplateId:928390838;,3600,259200,Sat Nov 23 21:03:27 PST 2019,,,3ZSY5X72N1T6FY2HCA9X2R2R77DOR5,A2HUTXBZ4YCVYT,Submitted,Wed Nov 20 21:19:46 PST 2019,Wed Nov 20 21:44:40 PST 2019,Sat Nov 23 21:44:40 PST 2019,,,,1494,100% (1/1),100% (1/1),100% (1/1),https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/11b13f14591a1541.jpg,"[{""""height"""":154,""""label"""":""""Car"""",""""left"""":204,""""top"""":367,""""width"""":312}]",768,1024,,,15.2056192396741
