top,bottom,right,left,HITId,HITTypeId,Reward,AssignmentDurationInSeconds,WorkerId,AssignmentStatus,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,WorkTimeInSeconds,ImageId,in_treatment,bounding_box_score
441,693,552,361,37NXA7GVTWOOG0I8I0TDMNSBSMSLVS,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,A3RD75HSSMVHKM,Submitted,0% (0/0),0% (0/0),0% (0/0),10,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/1002f337f91b7932.jpg,0,227.178115340706
450,669,529,369,37NXA7GVTWOOG0I8I0TDMNSBSMSLVS,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,ABBMKMTKDC065,Submitted,0% (0/0),0% (0/0),0% (0/0),19,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/1002f337f91b7932.jpg,0,197.553787027197
439,657,531,366,37NXA7GVTWOOG0I8I0TDMNSBSMSLVS,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,AZIAQJWXTSFUX,Submitted,0% (0/0),0% (0/0),0% (0/0),12,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/1002f337f91b7932.jpg,0,178.752547478093
464,642,519,360,37NXA7GVTWOOG0I8I0TDMNSBSMSLVS,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,A10HVCH6Y0N7SJ,Submitted,0% (0/0),0% (0/0),0% (0/0),197,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/1002f337f91b7932.jpg,0,175.453063793038
458,660,525,371,37NXA7GVTWOOG0I8I0TDMNSBSMSLVS,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,A2FJ8YQ6VHGD2L,Submitted,0% (0/0),0% (0/0),0% (0/0),99,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/1002f337f91b7932.jpg,0,194.582599367253
459,661,537,368,37NXA7GVTWOOG0I8I0TDMNSBSMSLVS,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,A1FPCIKO68OQ63,Submitted,0% (0/0),0% (0/0),0% (0/0),11,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/1002f337f91b7932.jpg,0,202.026354875251
460,663,527,366,37NXA7GVTWOOG0I8I0TDMNSBSMSLVS,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,A2FZ88OU42EFC8,Submitted,0% (0/0),0% (0/0),0% (0/0),75,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/1002f337f91b7932.jpg,0,197.633242526576
450,659,534,358,37NXA7GVTWOOG0I8I0TDMNSBSMSLVS,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,A255Z4TRTBZLKV,Submitted,0% (0/0),0% (0/0),0% (0/0),33,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/1002f337f91b7932.jpg,0,187.083321234119
459,641,527,361,37NXA7GVTWOOG0I8I0TDMNSBSMSLVS,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,A2AI293TGSIILE,Submitted,0% (0/0),0% (0/0),0% (0/0),24,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/1002f337f91b7932.jpg,0,175.089712404528
462,650,527,364,37NXA7GVTWOOG0I8I0TDMNSBSMSLVS,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,A3G0UTSYPCMFBU,Submitted,0% (0/0),0% (0/0),0% (0/0),279,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/1002f337f91b7932.jpg,0,186.864031670793
464,659,525,379,37NXA7GVTWOOG0I8I0TDMNSBSMSLVS,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,A1LFKPNCX23XN6,Submitted,0% (0/0),0% (0/0),0% (0/0),33,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/1002f337f91b7932.jpg,0,202.981624972298
447,663,531,368,37NXA7GVTWOOG0I8I0TDMNSBSMSLVS,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,AE2N5QUSIL9JE,Submitted,0% (0/0),0% (0/0),0% (0/0),6,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/1002f337f91b7932.jpg,0,190.782038148147
476,670,566,348,37NXA7GVTWOOG0I8I0TDMNSBSMSLVS,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,A1L89JD0FAS0Q,Submitted,0% (0/0),0% (0/0),0% (0/0),7,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/1002f337f91b7932.jpg,0,234.941581242132
462,658,526,374,37NXA7GVTWOOG0I8I0TDMNSBSMSLVS,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,A3NBJ2WSWYJPWY,Submitted,0% (0/0),0% (0/0),0% (0/0),21,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/1002f337f91b7932.jpg,0,198.287122904543
451,655,522,366,37NXA7GVTWOOG0I8I0TDMNSBSMSLVS,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,A1G85JMLZY7B28,Submitted,0% (0/0),0% (0/0),0% (0/0),348,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/1002f337f91b7932.jpg,0,180.311348247846
