HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.image_url,Answer.annotatedResult.boundingBoxes,Answer.annotatedResult.inputImageProperties.height,Answer.annotatedResult.inputImageProperties.width,Approve,Reject
3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,Draw bounding box around 1 item (2 cents):,Draw bounding boxes around the requested item(s),bounding box,$0.02,Sat Nov 23 20:30:14 PST 2019,200,BatchId:3847172;OriginalHitTemplateId:928390838;,3600,86400,Sun Nov 24 20:30:14 PST 2019,304SM51WA7MYXJDLNU4GMH7ONNMBSC,A19FU2O520M5Z6,Submitted,Sun Nov 24 07:14:54 PST 2019,Sun Nov 24 07:15:14 PST 2019,Mon Nov 25 07:15:14 PST 2019,20,0% (0/0),0% (0/0),0% (0/0),https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,"[{""height"":154,""label"":""Car"",""left"":148,""top"":430,""width"":396}]",683,1024,,
3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,Draw bounding box around 1 item (2 cents):,Draw bounding boxes around the requested item(s),bounding box,$0.02,Sat Nov 23 20:30:14 PST 2019,200,BatchId:3847172;OriginalHitTemplateId:928390838;,3600,86400,Sun Nov 24 20:30:14 PST 2019,30BUDKLTXHDVYKRULPTYUE3HCZ4E5O,A3E9YVRNEUB9CA,Submitted,Sat Nov 23 20:55:30 PST 2019,Sat Nov 23 20:57:00 PST 2019,Sun Nov 24 20:57:00 PST 2019,90,0% (0/0),0% (0/0),0% (0/0),https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,"[{""height"":141,""label"":""Car"",""left"":150,""top"":433,""width"":388},{""height"":0,""label"":""Car"",""left"":85,""top"":100,""width"":0}]",683,1024,,
3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,Draw bounding box around 1 item (2 cents):,Draw bounding boxes around the requested item(s),bounding box,$0.02,Sat Nov 23 20:30:14 PST 2019,200,BatchId:3847172;OriginalHitTemplateId:928390838;,3600,86400,Sun Nov 24 20:30:14 PST 2019,30X31N5D678TE98THG4KR6NI54OSAJ,ASRU3G6U3BH2A,Submitted,Sat Nov 23 23:45:53 PST 2019,Sat Nov 23 23:53:20 PST 2019,Sun Nov 24 23:53:20 PST 2019,447,0% (0/0),0% (0/0),0% (0/0),https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,"[{""height"":163,""label"":""Car"",""left"":144,""top"":423,""width"":400}]",683,1024,,
3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,Draw bounding box around 1 item (2 cents):,Draw bounding boxes around the requested item(s),bounding box,$0.02,Sat Nov 23 20:30:14 PST 2019,200,BatchId:3847172;OriginalHitTemplateId:928390838;,3600,86400,Sun Nov 24 20:30:14 PST 2019,31IBVUNM9WH42S65MRVHGUIG1OKFVD,A2KH641ASLS5P9,Submitted,Sat Nov 23 20:36:33 PST 2019,Sat Nov 23 20:36:48 PST 2019,Sun Nov 24 20:36:48 PST 2019,15,0% (0/0),0% (0/0),0% (0/0),https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,"[{""height"":380,""label"":""Car"",""left"":85,""top"":292,""width"":512}]",683,1024,,
3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,Draw bounding box around 1 item (2 cents):,Draw bounding boxes around the requested item(s),bounding box,$0.02,Sat Nov 23 20:30:14 PST 2019,200,BatchId:3847172;OriginalHitTemplateId:928390838;,3600,86400,Sun Nov 24 20:30:14 PST 2019,31IBVUNM9WH42S65MRVHGUIG1OYFVR,A1QX5V431K1J9Q,Submitted,Sun Nov 24 01:33:59 PST 2019,Sun Nov 24 01:34:45 PST 2019,Mon Nov 25 01:34:45 PST 2019,46,0% (0/0),0% (0/0),0% (0/0),https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,"[{""height"":131,""label"":""Car"",""left"":150,""top"":435,""width"":391},{""height"":23,""label"":""Car"",""left"":492,""top"":558,""width"":4}]",683,1024,,
3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,Draw bounding box around 1 item (2 cents):,Draw bounding boxes around the requested item(s),bounding box,$0.02,Sat Nov 23 20:30:14 PST 2019,200,BatchId:3847172;OriginalHitTemplateId:928390838;,3600,86400,Sun Nov 24 20:30:14 PST 2019,31LVTDXBLBSY9DZKZIT5AAYXDEDLRF,A3L9GAY6ILP0OW,Submitted,Sun Nov 24 05:36:03 PST 2019,Sun Nov 24 05:37:09 PST 2019,Mon Nov 25 05:37:09 PST 2019,66,0% (0/0),0% (0/0),0% (0/0),https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,"[{""height"":157,""label"":""Car"",""left"":144,""top"":425,""width"":401}]",683,1024,,
3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,Draw bounding box around 1 item (2 cents):,Draw bounding boxes around the requested item(s),bounding box,$0.02,Sat Nov 23 20:30:14 PST 2019,200,BatchId:3847172;OriginalHitTemplateId:928390838;,3600,86400,Sun Nov 24 20:30:14 PST 2019,31N2WW6R9V8KQJ4M2HPBXZQXA493FM,A2WC8JCVLT4N6D,Submitted,Sun Nov 24 04:35:29 PST 2019,Sun Nov 24 04:37:04 PST 2019,Mon Nov 25 04:37:04 PST 2019,95,0% (0/0),0% (0/0),0% (0/0),https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,"[{""height"":154,""label"":""Car"",""left"":146,""top"":426,""width"":397}]",683,1024,,
3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,Draw bounding box around 1 item (2 cents):,Draw bounding boxes around the requested item(s),bounding box,$0.02,Sat Nov 23 20:30:14 PST 2019,200,BatchId:3847172;OriginalHitTemplateId:928390838;,3600,86400,Sun Nov 24 20:30:14 PST 2019,31N2WW6R9V8KQJ4M2HPBXZQXA4C3FP,A31CH40D6MB9LC,Submitted,Sun Nov 24 05:46:16 PST 2019,Sun Nov 24 05:48:14 PST 2019,Mon Nov 25 05:48:14 PST 2019,118,0% (0/0),0% (0/0),0% (0/0),https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,"[{""height"":154,""label"":""Car"",""left"":146,""top"":427,""width"":399}]",683,1024,,
3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,Draw bounding box around 1 item (2 cents):,Draw bounding boxes around the requested item(s),bounding box,$0.02,Sat Nov 23 20:30:14 PST 2019,200,BatchId:3847172;OriginalHitTemplateId:928390838;,3600,86400,Sun Nov 24 20:30:14 PST 2019,31QNSG6A5VBTCNVMWFMV0OLRS2078W,A1CJSTWCQ3OESU,Submitted,Sat Nov 23 20:31:24 PST 2019,Sat Nov 23 20:50:05 PST 2019,Sun Nov 24 20:50:05 PST 2019,1121,0% (0/0),0% (0/0),0% (0/0),https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,"[{""height"":154,""label"":""Car"",""left"":145,""top"":426,""width"":398}]",683,1024,,
3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,Draw bounding box around 1 item (2 cents):,Draw bounding boxes around the requested item(s),bounding box,$0.02,Sat Nov 23 20:30:14 PST 2019,200,BatchId:3847172;OriginalHitTemplateId:928390838;,3600,86400,Sun Nov 24 20:30:14 PST 2019,31QTRG6Q2XVXXZQ455E6ZN0ELBNYPM,A3UYCT52TRXOGN,Submitted,Sun Nov 24 02:30:04 PST 2019,Sun Nov 24 02:30:36 PST 2019,Mon Nov 25 02:30:36 PST 2019,32,0% (0/0),0% (0/0),0% (0/0),https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,"[{""height"":155,""label"":""Car"",""left"":144,""top"":427,""width"":402}]",683,1024,,
