top,bottom,right,left,HITId,HITTypeId,Reward,AssignmentDurationInSeconds,WorkerId,AssignmentStatus,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,WorkTimeInSeconds,ImageId,in_treatment,bound_size,bounding_box_score
430,584,544,148,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A19FU2O520M5Z6,Submitted,0% (0/0),0% (0/0),0% (0/0),20,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,11.5593965081993
433,574,538,150,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A3E9YVRNEUB9CA,Submitted,0% (0/0),0% (0/0),0% (0/0),90,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,20.8326413897088
100,100,85,85,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A3E9YVRNEUB9CA,Submitted,0% (0/0),0% (0/0),0% (0/0),90,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,1046.88407687388
423,586,544,144,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,ASRU3G6U3BH2A,Submitted,0% (0/0),0% (0/0),0% (0/0),447,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,6.22805935468769
292,672,597,85,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A2KH641ASLS5P9,Submitted,0% (0/0),0% (0/0),0% (0/0),15,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,250.111445084893
435,566,541,150,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A1QX5V431K1J9Q,Submitted,0% (0/0),0% (0/0),0% (0/0),46,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,27.9905637086166
558,581,496,492,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A1QX5V431K1J9Q,Submitted,0% (0/0),0% (0/0),0% (0/0),46,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,491.194724930463
425,582,545,144,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A3L9GAY6ILP0OW,Submitted,0% (0/0),0% (0/0),0% (0/0),66,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,2.25009218681938
426,580,543,146,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A2WC8JCVLT4N6D,Submitted,0% (0/0),0% (0/0),0% (0/0),95,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,5.40947410382735
427,581,545,146,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A31CH40D6MB9LC,Submitted,0% (0/0),0% (0/0),0% (0/0),118,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,5.66152279488339
